0,1,2,3,4,5,6,7,8,9,10,11,12,13
Nutrisi Cafe,Tipe KulinerKafe,"
                  
                  Jl. Achmad Adnawijaya (Pandu Raya) No. 97, Bogor Utara, Bogor
                ",https://pergikuliner.com/restaurants/bogor/nutrisi-cafe-bogor-utara,Kapasitas:  45 kursi,"""Tunai,Visa,Master,Debet,Go-pay,Ovo,Dana""",,"
                  Di bawah Rp. 50.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Jumat (10:00 - 21:00), Sabtu - Minggu (08:00 - 21:00)</time>>","Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",081294378714,4.4,"4.7,4.3,4.5,4.5,4.0"
Coffeelense,Tipe KulinerKafe,"
                  
                  Jl. Panaitan No. 22, Sunda, Bandung
                ",https://pergikuliner.com/restaurants/bandung/coffeelense-sunda,"PembayaranTunai, Visa, Master, Debet, Go-pay, Ovo","""Tunai,Visa,Master,Debet,Go-pay,Ovo""",,"
                  Di bawah Rp. 50.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (09:00 - 21:00)</time>>","Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",087722187778,4.37,"4.5,4.5,4.8,4.3"
Noach Cafe & Bistro,Tipe KulinerKafe,"
                  
                  Jl. Pregolan No. 4, Tegalsari, Surabaya
                ",https://pergikuliner.com/restaurants/surabaya/noach-cafe-dan-bistro-tegalsari,"PembayaranTunai, Visa, Master, Debet","""Tunai,Visa,Master,Debet""",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (11:00 - 21:30)</time>>","Wifi,Area merokok,Area outdoor,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,24 Jam,100% Halal,Vegetarian",031 5311360,4.14,"4.0,4.5,4.2,4.4"
Ramen SeiRock-Ya,Tipe KulinerJepang,"
                  Plaza Indonesia, Lantai 5
                  Jl. MH Thamrin, Thamrin, Jakarta Pusat
                ",https://pergikuliner.com/restaurants/jakarta/ramen-seirock-ya-thamrin,Cabang: ya,"""Tunai,Visa,Master,Debet,Go-pay,Ovo,Dana""",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (10:00 - 22:00)</time>>","100% Halal,Ruang VIP,Bisa reservasi,Area parkir","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Alkohol,Vegetarian",021 29921904,4.07,"4.5,4.0,4.1,4.0"
Liang Sandwich Bar,Tipe KulinerSnack,"
                  Pluit Village, Lantai Ground, Elevation
                  Jl. Pluit Indah Raya, Pluit, Penjaringan, Jakarta Utara
                ",https://pergikuliner.com/restaurants/jakarta/liang-sandwich-bar-pluit-2,Cabang: ya,"""Tunai""",,"
                  Di bawah Rp. 50.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (10:00 - 21:00)</time>>","100% Halal,Area parkir","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",021 2295 6067,4.22,"4.4,4.2,4.2,4.1,4.2"
Loops,Tipe KulinerKafe,"
                  Ruko Beach Theme Park, Blok D No. 37
                  Jl. Pantai Indah Kapuk, Pantai Indah Kapuk, Penjaringan, Jakarta Utara
                ",https://pergikuliner.com/restaurants/jakarta/loops-pantai-indah-kapuk,Kapasitas:  30 kursi,"""Tunai,Visa,Master,Debet,Go-pay,Ovo""",,"
                  Di bawah Rp. 50.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Jumat (08:00 - 20:00), Sabtu - Minggu (07:00 - 21:00)</time>>","Wifi,Pesan antar,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","24 Jam,Ruang VIP,Alkohol,Vegetarian",081389634510,4.2,"4.3,4.5,4.0,4.3"
Seribu Rasa,Tipe KulinerIndonesia,"
                  Lotte Shopping Avenue, Lantai 3
                  Jl. Prof Dr Satrio, Karet Kuningan, Setiabudi, Jakarta Selatan
                ",https://pergikuliner.com/restaurants/jakarta/seribu-rasa-karet-kuningan,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (10:00 - 21:00)</time>>","Wifi,100% Halal,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area merokok,Area outdoor,24 Jam,Vegetarian",021 29889318,4.26,"4.2,4.8,4.2,4.6"
Guzzbun,Tipe KulinerBarat,"
                  
                  Jl. Radio Dalam Raya No. 50, Radio Dalam, Kebayoran Baru, Jakarta Selatan
                ",https://pergikuliner.com/restaurants/jakarta/guzzbun-radio-dalam,Cabang: ya,"""Tunai,Visa,Master,Debet,Ovo""",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (11:00 - 20:00)</time>>","Wifi,Area merokok,Area outdoor,100% Halal,Area parkir","Pesan antar,24 Jam,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",021 7207622,4.07,"4.1,4.2,4.0,4.2"
MieBar,"Tipe KulinerJepang,Korea,China","
                  Ruko Opal, Blok BF1 No. 29
                  Jl. Raya Kelapa Sawit, Gading Serpong, Serpong, Tangerang
                ",https://pergikuliner.com/restaurants/tangerang/miebar-gading-serpong,"PembayaranTunai, Debet","""Tunai,Debet""",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (10:00 - 21:00)</time>>","Wifi,Area merokok,100% Halal,Area parkir,Alkohol","Pesan antar,Area outdoor,24 Jam,Ruang VIP,Bisa reservasi,Vegetarian",021 2295 6067,4.18,"4.3,4.1,4.0,4.2,4.3"
Outback Steakhouse,Tipe KulinerBarat,"
                  Pondok Indah Mall 1, Lantai 1
                  Jl. Metro Pondok Indah, Pondok Indah, Jakarta Selatan
                ",https://pergikuliner.com/restaurants/jakarta/outback-steakhouse-pondok-indah,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Di atas Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Sabtu (12:00 - 22:00), Minggu (11:00 - 22:00)</time>>","Wifi,Area merokok,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area outdoor,24 Jam,100% Halal,Ruang VIP,Vegetarian",021 7506771,4.2,"4.4,4.1,4.2,4.4"
Carnis,Tipe KulinerKafe,"
                  
                  Jl. Raya Panjang Jiwo Permai No. 2B, Tenggilis Mejoyo, Surabaya
                ",https://pergikuliner.com/restaurants/surabaya/carnis-tenggilis-mejoyo,Cabang: ya,"""Tunai,Visa,Master,Debet,Go-pay,Ovo,Dana""",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (10:00 - 22:00)</time>>","Wifi,Area merokok,100% Halal,Bisa reservasi,Area parkir","Pesan antar,Area outdoor,24 Jam,Ruang VIP,Alkohol,Vegetarian",08113420020,4.02,"4.2,4.1,4.0"
Sofia at The Gunawarman,Tipe KulinerBarat,"
                  
                  Jl. Gunawarman No. 3, Senopati, Kebayoran Baru, Jakarta Selatan
                ",https://pergikuliner.com/restaurants/jakarta/sofia-at-the-gunawarman-senopati,"PembayaranTunai, Visa, Master, Debet","""Tunai,Visa,Master,Debet""",,"
                  Di atas Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (06:00 - 21:00)</time>>","Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir,Alkohol","Pesan antar,24 Jam,Ruang VIP,Vegetarian",021 22770007,4.09,"4.7,4.3,4.3"
Temanlama,Tipe KulinerKafe,"
                  
                  Jl. Bima No. 80, Pajajaran, Bandung
                ",https://pergikuliner.com/restaurants/bandung/temanlama-pajajaran,Cabang: ya,"""Tunai,Visa,Master,Debet,Go-pay,Ovo,Dana""",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (09:00 - 22:00)</time>>","Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",08112136533,4.0,"4.1,4.4,4.0,4.0"
Kopi Nyai,Tipe KulinerKafe,"
                  
                  Jl. Percetakan I No. 41, Gandaria, Jakarta Selatan
                ",https://pergikuliner.com/restaurants/jakarta/kopi-nyai-gandaria,Cabang: ya,"""Tunai,Visa,Master,Debet,Go-pay,Ovo""",,"
                  Di bawah Rp. 50.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (09:00 - 21:00)</time>>","Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",081292506253,4.0,"4.0,4.3,4.0,4.1"
Midori,Tipe KulinerJepang,"
                  
                  Jl. KH Wahid Hasyim No. 106, Menteng, Jakarta Pusat
                ",https://pergikuliner.com/restaurants/jakarta/midori-menteng,Cabang: ya,"""Tunai,Visa,Master,Debet,Go-pay""",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (10:00 - 21:00)</time>>","Wifi,Area merokok,100% Halal,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area outdoor,24 Jam,Ruang VIP,Vegetarian",021 3148957,4.25,"4.2,4.5,4.5,4.6"
Crunchaus Salads,"Jam Buka
Senin - Minggu (10:00 - 22:00)

Buka

","
                  Tunjungan Plaza 3, Lantai Lower Ground
                  Jl. Basuki Rahmat, Tegalsari, Surabaya
                ",https://pergikuliner.com/restaurants/surabaya/crunchaus-salads-tegalsari,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (10:00 - 22:00)</time>>","100% Halal,Area parkir","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",0811308153,4.24,"4.9,4.3,4.6"
RM Pagi Sore,Tipe KulinerIndonesia,"
                  
                  Jl. Cipete II No. 1, Fatmawati, Jakarta Selatan
                ",https://pergikuliner.com/restaurants/jakarta/rm-pagi-sore-fatmawati,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Di bawah Rp. 50.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (10:00 - 22:00)</time>>","Wifi,100% Halal,Bisa reservasi,Area parkir","Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Alkohol,Vegetarian",021 7667000,4.02,"4.6,4.0,4.0"
BAE by Socieaty,Tipe KulinerBarat,"
                  Senayan City, Lantai Lower Ground, Crystal Lagoon
                  Jl. Asia Afrika, Senayan, Jakarta Selatan
                ",https://pergikuliner.com/restaurants/jakarta/bae-by-socieaty-senayan,"PembayaranTunai, Visa, Master, Debet","""Tunai,Visa,Master,Debet""",,"
                  Di atas Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (11:00 - 21:00)</time>>","Wifi,Area merokok,Area outdoor,100% Halal,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,24 Jam,Vegetarian",021 72782828,4.04,"4.2,4.1,4.2,4.1"
Lewis & Carroll Tea,Tipe KulinerKafe,"
                  Senayan City, Lantai Lower Ground, Crystal Lagoon
                  Jl. Asia Afrika, Senayan, Jakarta Selatan
                ",https://pergikuliner.com/restaurants/jakarta/lewis-dan-carroll-tea-senayan-2,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Jumat (11:00 - 21:00), Sabtu - Minggu (08:00 - 21:00)</time>>","Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",021 72781234,4.01,"4.2,4.2,4.1"
Shingen Izakaya,Tipe KulinerJepang,"
                  Setiabudhi 45, Lantai 4
                  Jl. Dr. Setiabudhi No. 45, Setiabudhi, Bandung
                    

                      ( Alamat Lama: 
                      Setiabudhi 45, Lantai 3, Jl. Dr. Setiabudhi No. 45, Setiabudhi, Bandung 
                      )
                    
",https://pergikuliner.com/restaurants/bandung/shingen-izakaya-setiabudhi-2,"PembayaranTunai, Visa, Master, Debet","""Tunai,Visa,Master,Debet""",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (11:00 - 21:00)</time>>","Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",022 2040055,4.3,"4.3,4.6,4.0,4.3,4.4"
Maza Artisan Tea & Gelato,Tipe KulinerKafe,"
                  Ruko South Goldfinch, Blok B No. 12
                  Jl. Springs Boulevard, Gading Serpong, Serpong, Tangerang
                ",https://pergikuliner.com/restaurants/tangerang/maza-artisan-tea-dan-gelato-gading-serpong,"PembayaranTunai, Visa, Master, Debet, Go-pay, Ovo","""Tunai,Visa,Master,Debet,Go-pay,Ovo""",,"
                  Di bawah Rp. 50.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (11:00 - 20:30)</time>>","Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",021 22222189,4.35,"4.3,4.3,4.3,4.6,4.4"
Soto Ayam Lamongan Cak Har,Tipe KulinerIndonesia,"
                  
                  Jl. Dr. Ir. H. Soekarno No. 220, Sukolilo, Surabaya
                ",https://pergikuliner.com/restaurants/surabaya/soto-ayam-lamongan-cak-har-sukolilo-2,Cabang: ya,"""Tunai""",,"
                  Di bawah Rp. 50.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (06:00 - 02:00)</time>>","Area merokok,100% Halal,Bisa reservasi,Area parkir","Wifi,Pesan antar,Area outdoor,24 Jam,Ruang VIP,Alkohol,Vegetarian",082233337398,4.06,"4.4,4.3,4.1"
SGD The Old Tofu House,Tipe KulinerKorea,"
                  Pondok Indah Mall 1, Street Gallery, Lantai 1
                  Jl. Metro Pondok Indah, Pondok Indah, Jakarta Selatan
                ",https://pergikuliner.com/restaurants/jakarta/sgd-the-old-tofu-house-pondok-indah,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Kamis (10:00 - 24:00), Jumat - Sabtu (10:00 - 02:00), Minggu (10:00 - 24:00)</time>>","Wifi,100% Halal,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area merokok,Area outdoor,24 Jam,Vegetarian",021 29529751,4.14,"4.4,4.1,4.1,4.3"
Shabu Hachi,Tipe KulinerJepang,"
                  
                  Jl. RC. Veteran Raya No. 20, Bintaro, Jakarta Selatan
                ",https://pergikuliner.com/restaurants/jakarta/shabu-hachi-bintaro-2,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Di atas Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (10:00 - 21:00)</time>>","Wifi,Area merokok,100% Halal,Ruang VIP,Bisa reservasi,Area parkir","Pesan antar,Area outdoor,24 Jam,Alkohol,Vegetarian",081211115057,4.16,"4.4,4.0,4.3,4.2"
Dua Coffee,Tipe KulinerKafe,"
                  
                  Jl. Cipete Raya No. 66, Fatmawati, Jakarta Selatan
                    

                      ( Alamat Lama: 
                      Jl. Cipete Dalam No. 2, Fatmawati, Jakarta Selatan 
                      )
                    
",https://pergikuliner.com/restaurants/jakarta/dua-coffee-fatmawati-2,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (07:00 - 21:00)</time>>","Wifi,Area merokok,100% Halal,Ruang VIP,Bisa reservasi,Area parkir","Pesan antar,Area outdoor,24 Jam,Alkohol,Vegetarian",082113304593,3.96,"4.1,4.2"
Oseng Mercon,Tipe KulinerIndonesia,"
                  
                  Jl. Gegerkalong Girang No. 27D, Gegerkalong, Bandung
                ",https://pergikuliner.com/restaurants/bandung/oseng-mercon-gegerkalong,Cabang: ya,"""Tunai,Debet""",,"
                  Di bawah Rp. 50.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (10:00 - 22:00)</time>>","Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Wifi,Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",082121026823,4.37,"4.7,4.0,4.4,4.4,4.3"
Satoo - Hotel Shangri-La Jakarta,"Tipe KulinerJepang,China,Barat,Indonesia","
                  Hotel Shangri-La Jakarta
                  Jl. Jenderal Sudirman, Sudirman, Jakarta Pusat
                ",https://pergikuliner.com/restaurants/jakarta/satoo-hotel-shangri-la-jakarta-sudirman,"PembayaranTunai, Visa, Master, Debet","""Tunai,Visa,Master,Debet""",,"
                  Di atas Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (06:30 - 10:00, 12:00 - 14:30, 18:00 - 21:00)</time>>","Wifi,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area merokok,Area outdoor,24 Jam,100% Halal,Vegetarian",,4.04,"4.1,4.2,4.2,4.3"
Warung Leko,Tipe KulinerIndonesia,"
                  
                  Jl. Manyar Kertoarjo V No. 9, Manyar, Surabaya
                ",https://pergikuliner.com/restaurants/surabaya/warung-leko-manyar,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Jumat (10:00 - 21:30), Sabtu - Minggu (10:00 - 22:00)</time>>","100% Halal,Bisa reservasi,Area parkir","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Alkohol,Vegetarian",031 58255277,4.02,"4.7,4.2"
Momentum,Tipe KulinerKafe,"
                  Ruko Prominence, Blok 38H No. 26 - 27
                  Jl. Jalur Sutera Boulevard, Alam Sutera, Serpong, Tangerang Selatan
                ",https://pergikuliner.com/restaurants/tangerang/momentum-alam-sutera,"PembayaranTunai, Visa, Master, Debet","""Tunai,Visa,Master,Debet""",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Jumat (11:00 - 19:00), Sabtu (12:00 - 21:00), Minggu Tutup</time>>","Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",08119272638,4.09,"4.2,4.3,4.1,4.2"
Teppan House,Tipe KulinerJepang,"
                  Pakuwon Mall, Lantai 2M, Little Tokyo Pakuwon Mall
                  Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya
                ",https://pergikuliner.com/restaurants/surabaya/teppan-house-wiyung,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (10:00 - 22:00)</time>>","100% Halal,Area parkir","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",081233832987,4.14,"4.4,4.2,4.3,4.2"
Sepiring Padang,Tipe KulinerIndonesia,"
                  
                  Jl. Boulevard Raya Blok QF1 No. 1, Kelapa Gading, Jakarta Utara
                ",https://pergikuliner.com/restaurants/jakarta/sepiring-padang-kelapa-gading,Cabang: ya,"""Tunai,Visa,Master,Debet,Go-pay,Ovo""",,"
                  Di bawah Rp. 50.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (08:00 - 21:00)</time>>","Wifi,Pesan antar,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","24 Jam,Ruang VIP,Alkohol,Vegetarian",021 45843837,4.02,"4.1,4.0,4.0,4.1"
Auntie Anne's,Tipe KulinerSnack,"
                  Supermal Karawaci, Lantai 1
                  Jl. Boulevard Diponegoro No. 105, Karawaci, Tangerang
                ",https://pergikuliner.com/restaurants/tangerang/auntie-anne-s-karawaci,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Di bawah Rp. 50.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (11:00 - 20:00)</time>>","100% Halal,Area parkir","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",021 5460980,4.1,"4.6,4.0,4.0,4.1"
Restaurant Sarang Oci,Tipe KulinerIndonesia,"
                  Flavor Bliss
                  Jl. Alam Sutera Boulevard, Alam Sutera, Serpong, Tangerang Selatan
                ",https://pergikuliner.com/restaurants/tangerang/restaurant-sarang-oci-alam-sutera,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (10:00 - 20:30)</time>>","Wifi,Pesan antar,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir,Alkohol","24 Jam,Ruang VIP,Vegetarian",021 30052595,4.09,"4.6,4.1,4.1"
Bariuma Ramen,Tipe KulinerJepang,"
                  Central Park, Lantai Lower Ground
                  Jl. Letjen S. Parman, Slipi, Jakarta Barat
                ",https://pergikuliner.com/restaurants/jakarta/bariuma-ramen-slipi,Cabang: ya,"""Tunai,Visa,Master,Debet,Go-pay,Ovo,Dana""",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (10:00 - 22:00)</time>>","Wifi,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area merokok,Area outdoor,24 Jam,100% Halal,Ruang VIP,Vegetarian",021 22561893,4.03,"4.1,4.2,4.1,4.2"
Lawless Burgerbar,Tipe KulinerBarat,"
                  
                  Jl. H. Agus Salim No. 60, Menteng, Jakarta Pusat
                ",https://pergikuliner.com/restaurants/jakarta/lawless-burgerbar-menteng,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Kamis (11:00 - 23:00), Jumat - Sabtu (11:00 - 24:00), Minggu (10:00 - 23:00)</time>>","Area merokok,100% Halal,Bisa reservasi,Area parkir,Alkohol","Wifi,Pesan antar,Area outdoor,24 Jam,Ruang VIP,Vegetarian",085697408869,4.05,"4.4,4.0,4.1,4.1"
Papa & Mama Bistro and Coffee,Tipe KulinerKafe,"
                  
                  Jl. Green Ville Blok AS No. 40C, Green Ville, Jakarta Barat
                ",https://pergikuliner.com/restaurants/jakarta/papa-dan-mama-bistro-and-coffee-green-ville,Cabang: ya,"""Tunai,Visa,Master,Debet,Go-pay""",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (07:00 - 22:00)</time>>","Wifi,Area merokok,Area outdoor,Bisa reservasi,Area parkir","Pesan antar,24 Jam,100% Halal,Ruang VIP,Alkohol,Vegetarian",021 5638805,4.01,"4.0,4.3,4.0"
Kenjiro,Tipe KulinerJepang,"
                  
                  Jl. Adityawarman No. 63, Melawai, Kebayoran Baru, Jakarta Selatan
                ",https://pergikuliner.com/restaurants/jakarta/kenjiro-melawai,"PembayaranTunai, Visa, Master, Debet","""Tunai,Visa,Master,Debet""",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (11:00 - 21:00)</time>>","Wifi,Area merokok,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area outdoor,24 Jam,100% Halal,Vegetarian",021 5156888,4.24,"4.1,4.6,4.3,4.5"
Oh Gelato & Cafe,Tipe KulinerEs Krim,"
                  
                  Jl. Kusuma Bangsa No. 1 - 3, Gubeng, Surabaya
                ",https://pergikuliner.com/restaurants/surabaya/oh-gelato-dan-cafe-gubeng,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Di bawah Rp. 50.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (10:00 - 22:00)</time>>","Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",031 5318309,4.07,"4.1,4.1,4.1,4.0,4.2"
Kolonial Bistro & Roastery,Tipe KulinerKafe,"
                  
                  Jl. Jaksa No. 18, Menteng, Jakarta Pusat
                ",https://pergikuliner.com/restaurants/jakarta/kolonial-bistro-dan-roastery-menteng,Kapasitas:  100 kursi,"""Tunai,Debet,Ovo,Dana""",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (10:00 - 21:00)</time>>","Wifi,Area merokok,100% Halal,Ruang VIP,Bisa reservasi,Area parkir","Pesan antar,Area outdoor,24 Jam,Alkohol,Vegetarian",081311832940,4.13,"4.0,4.2,4.4,4.3"
Two Hands Full,Tipe KulinerKafe,"
                  
                  Jl. Ir. H. Juanda No. 113, Dago Bawah, Bandung
                    

                      ( Alamat Lama: 
                      Jl. Sukajadi No. 198A, Sukajadi, Bandung 
                      )
                    
",https://pergikuliner.com/restaurants/bandung/two-hands-full-dago-bawah,"PembayaranTunai, Visa, Master, Debet, Ovo","""Tunai,Visa,Master,Debet,Ovo""",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (08:00 - 20:00)</time>>","Wifi,Area merokok,Area outdoor,Area parkir,Alkohol","Pesan antar,24 Jam,100% Halal,Ruang VIP,Bisa reservasi,Vegetarian",08815403717,3.99,"4.3,4.0,4.0,4.0"
Soup Restaurant,Tipe KulinerChina,"
                  Plaza Indonesia, Lantai 3
                  Jl. MH Thamrin, Thamrin, Jakarta Pusat
                ",https://pergikuliner.com/restaurants/jakarta/soup-restaurant-thamrin,Cabang: ya,"""Tunai,Visa,Master,Debet,Go-pay,Ovo""",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (11:00 - 22:00)</time>>","Wifi,100% Halal,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area merokok,Area outdoor,24 Jam,Vegetarian",021 29921850,4.05,"4.4,4.1,4.1"
