0,1,2,3
Senin - Minggu (10:00 - 21:00),,0251 8572759,"4.5,4.6,4.0,4.4,4.3"
"Senin - Minggu (05:30 - 10:30, 12:00 - 15:00, 18:00 - 23:00) ",,021 31921111,"4.3,4.5,3.6,4.6,4.5"
Senin - Minggu (10:00 - 21:00),,0251 7568737,"4.4,4.5,4.2,4.3,4.3"
Senin - Minggu (09:00 - 22:00),,081556533550,"4.6,4.1,4.3,4.2,4.4"
Senin - Minggu (11:00 - 21:00),,021 85908805,"4.3,4.3,3.9,4.3,4.4"
"Selasa - Minggu (11:30 - 21:00), Senin Tutup",,021 27085188,"4.2,4.6,3.9,4.8,4.9"
Senin - Minggu (11:00 - 21:00),,021 22394880,"4.3,4.6,3.8,4.9,4.6"
Senin - Minggu (10:00 - 20:00),,021 80821318,"4.6,4.1,4.4,4.1,4.5"
"Selasa - Minggu (11:00 - 22:00), Senin Tutup",,021 84303732,"4.8,3.8,4.6,4.2,4.2"
"Senin - Jumat (11:00 - 23:00), Sabtu (11:00 - 24:00), Minggu (11:00 - 23:00)",,021 29285570,"4.3,4.2,4.2,4.4,4.5"
Senin - Minggu (10:00 - 21:00),,021 22571973,"4.5,4.2,3.9,4.5,4.3"
Senin - Minggu (09:00 - 20:00),,085216479268,"4.3,4.5,4.3,4.2,4.3"
Senin - Minggu (09:00 - 21:00),,021 2295 6067,"5.0,5.0,5.0,5.0,5.0"
Senin - Minggu (10:00 - 21:00),,081310006057,"4.6,4.5,4.4,4.8,4.6"
"Senin - Jumat (09:00 - 22:00), Sabtu - Minggu (08:00 - 22:00)",,081295039760,"4.2,4.5,4.5,4.5,4.3"
Senin - Minggu (06:00 - 21:00),,0818575888,"4.7,4.6,4.2,4.6,4.6"
"Senin - Jumat (07:00 - 20:00), Sabtu - Minggu (06:00 - 20:00)",,021 2295 6067,"4.3,4.6,4.4,4.3,4.3"
Senin - Minggu (10:00 - 22:00),,021 5634565,"4.2,4.5,4.0,4.1,4.4"
Senin - Minggu (10:00 - 21:00),,021 29612745,"4.5,4.1,4.3,4.3,4.3"
"Senin - Jumat (11:30 - 15:00, 18:00 - 22:30), Sabtu - Minggu (10:30 - 15:00, 18:00 - 22:30)",,021 29399588,"4.2,4.5,3.8,4.4,4.4"
